Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-12-02 00:00:00-05:00,0.019999999552965164,0.028999999165534973,0.019999999552965164,0.028999999165534973,300,0.0,0.0,TIPS
2024-12-03 00:00:00-05:00,0.028999999165534973,0.028999999165534973,0.028999999165534973,0.028999999165534973,0,0.0,0.0,TIPS
2024-12-04 00:00:00-05:00,0.019999999552965164,0.024399999529123306,0.019999999552965164,0.024399999529123306,39893,0.0,0.0,TIPS
2024-12-05 00:00:00-05:00,0.10499999672174454,0.10499999672174454,0.019999999552965164,0.037700001150369644,20154,0.0,0.0,TIPS
2024-12-06 00:00:00-05:00,0.037700001150369644,0.037700001150369644,0.037700001150369644,0.037700001150369644,0,0.0,0.0,TIPS
2024-12-09 00:00:00-05:00,0.037700001150369644,0.037700001150369644,0.037700001150369644,0.037700001150369644,150,0.0,0.0,TIPS
2024-12-10 00:00:00-05:00,0.027000000700354576,0.027000000700354576,0.027000000700354576,0.027000000700354576,1000,0.0,0.0,TIPS
2024-12-11 00:00:00-05:00,0.019999999552965164,0.02879999950528145,0.019999999552965164,0.02879999950528145,9800,0.0,0.0,TIPS
2024-12-12 00:00:00-05:00,0.03400000184774399,0.03400000184774399,0.019999999552965164,0.02879999950528145,1800,0.0,0.0,TIPS
2024-12-13 00:00:00-05:00,0.02879999950528145,0.02879999950528145,0.02879999950528145,0.02879999950528145,0,0.0,0.0,TIPS
2024-12-16 00:00:00-05:00,0.02199999988079071,0.027000000700354576,0.02199999988079071,0.027000000700354576,9200,0.0,0.0,TIPS
2024-12-17 00:00:00-05:00,0.027000000700354576,0.027000000700354576,0.027000000700354576,0.027000000700354576,0,0.0,0.0,TIPS
2024-12-18 00:00:00-05:00,0.03400000184774399,0.03400000184774399,0.019999999552965164,0.027000000700354576,16450,0.0,0.0,TIPS
2024-12-19 00:00:00-05:00,0.027000000700354576,0.027000000700354576,0.027000000700354576,0.027000000700354576,0,0.0,0.0,TIPS
2024-12-20 00:00:00-05:00,0.027000000700354576,0.03400000184774399,0.020999999716877937,0.027000000700354576,3500,0.0,0.0,TIPS
2024-12-23 00:00:00-05:00,0.020999999716877937,0.027000000700354576,0.020999999716877937,0.027000000700354576,4760,0.0,0.0,TIPS
2024-12-24 00:00:00-05:00,0.019999999552965164,0.027000000700354576,0.019999999552965164,0.027000000700354576,300,0.0,0.0,TIPS
2024-12-26 00:00:00-05:00,0.019999999552965164,0.02800000086426735,0.019999999552965164,0.02800000086426735,5450,0.0,0.0,TIPS
2024-12-27 00:00:00-05:00,0.020999999716877937,0.020999999716877937,0.019999999552965164,0.019999999552965164,8000,0.0,0.0,TIPS
2024-12-30 00:00:00-05:00,0.03700000047683716,0.03700000047683716,0.013000000268220901,0.013199999928474426,41800,0.0,0.0,TIPS
