Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol
2020-01-02 00:00:00-05:00,207.3885960010891,209.09104919433594,206.98233278718877,209.09104919433594,30969400,0.0,0.0,0.0,QQQ
2020-01-03 00:00:00-05:00,206.32459983864655,208.42363405080076,206.30524975214155,207.17581176757812,27518900,0.0,0.0,0.0,QQQ
2020-01-06 00:00:00-05:00,205.55075267538476,208.53969890134994,205.2992605974008,208.51068115234375,21655300,0.0,0.0,0.0,QQQ
2020-01-07 00:00:00-05:00,208.58806226621965,209.07171108567942,207.8239036257811,208.48165893554688,22139300,0.0,0.0,0.0,QQQ
2020-01-08 00:00:00-05:00,208.45267062896286,211.0063361659979,208.12379292762938,210.0487060546875,26397300,0.0,0.0,0.0,QQQ
2020-01-09 00:00:00-05:00,211.7801386378297,212.23476969003815,210.59036672407504,211.82850646972656,23547000,0.0,0.0,0.0,QQQ
2020-01-10 00:00:00-05:00,212.66041047315687,212.67974580058194,210.9095891949211,211.28683471679688,21898500,0.0,0.0,0.0,QQQ
2020-01-13 00:00:00-05:00,212.15740870102027,213.75344402007465,211.81884859829154,213.72442626953125,22756900,0.0,0.0,0.0,QQQ
2020-01-14 00:00:00-05:00,213.61804507569545,213.97595530248654,212.55402633928807,212.88290405273438,24418100,0.0,0.0,0.0,QQQ
2020-01-15 00:00:00-05:00,212.9989426758966,213.96624033996494,212.2734694278453,212.9699249267578,25742100,0.0,0.0,0.0,QQQ
2020-01-16 00:00:00-05:00,214.03394476858267,215.04961020378576,213.57931371434694,215.0109100341797,18805000,0.0,0.0,0.0,QQQ
2020-01-17 00:00:00-05:00,215.97823075608417,216.2490729331579,214.85616187404065,216.07496643066406,24325200,0.0,0.0,0.0,QQQ
2020-01-21 00:00:00-05:00,215.47524200282632,216.5199253465533,215.37852108346547,215.97824096679688,21146300,0.0,0.0,0.0,QQQ
2020-01-22 00:00:00-05:00,217.07129926419114,217.78709017813122,216.27810799655796,216.5489501953125,20736400,0.0,0.0,0.0,QQQ
2020-01-23 00:00:00-05:00,216.42319763786287,217.3421275218217,215.41719974148054,217.24539184570312,26496100,0.0,0.0,0.0,QQQ
2020-01-24 00:00:00-05:00,218.26106355496844,218.49322032831856,214.4208903095818,215.41720581054688,37436500,0.0,0.0,0.0,QQQ
2020-01-27 00:00:00-05:00,210.55165996128056,212.1090096369354,210.07767883919794,210.9676055908203,42264400,0.0,0.0,0.0,QQQ
2020-01-28 00:00:00-05:00,212.4572775378892,214.70141540595148,211.89624307087365,214.2080841064453,26731900,0.0,0.0,0.0,QQQ
2020-01-29 00:00:00-05:00,215.3978951808994,215.6397196625161,213.60840287281306,214.5563507080078,28924500,0.0,0.0,0.0,QQQ
2020-01-30 00:00:00-05:00,213.17306310122945,215.4171859980466,212.5056253540522,215.32046508789062,39568100,0.0,0.0,0.0,QQQ
2020-01-31 00:00:00-05:00,216.22002264596804,216.2490403920171,211.1513781124189,211.9058837890625,52015800,0.0,0.0,0.0,QQQ
2020-02-03 00:00:00-05:00,212.94092897161423,215.60099782005395,212.7958402110709,215.10768127441406,25408600,0.0,0.0,0.0,QQQ
2020-02-04 00:00:00-05:00,218.04827127226596,220.4084802979532,217.30344782338753,220.03123474121094,30691200,0.0,0.0,0.0,QQQ
2020-02-05 00:00:00-05:00,222.68161109550647,222.72029650938654,219.43149021729053,220.75668334960938,38534800,0.0,0.0,0.0,QQQ
2020-02-06 00:00:00-05:00,221.3080059826476,222.7202669383229,220.52449730742765,222.6622314453125,22467100,0.0,0.0,0.0,QQQ
2020-02-07 00:00:00-05:00,221.66595020542528,222.9040901126535,221.06621557926115,221.7046356201172,25884900,0.0,0.0,0.0,QQQ
2020-02-10 00:00:00-05:00,220.96948876455627,224.39371612538102,220.91145326417154,224.38404846191406,21478900,0.0,0.0,0.0,QQQ
2020-02-11 00:00:00-05:00,225.62218392928068,226.36700727585094,223.83267731681468,224.4227294921875,30198000,0.0,0.0,0.0,QQQ
2020-02-12 00:00:00-05:00,225.7479465621825,226.71524428194877,225.18691211354306,226.6088409423828,24471300,0.0,0.0,0.0,QQQ
2020-02-13 00:00:00-05:00,225.03214155001788,227.247246840018,224.76129936852772,226.3186492919922,22773200,0.0,0.0,0.0,QQQ
2020-02-14 00:00:00-05:00,226.6765130940811,227.1795119722816,225.9123544943254,226.96670532226562,23438500,0.0,0.0,0.0,QQQ
2020-02-18 00:00:00-05:00,225.86401518143256,227.47940058521684,225.62219075404343,227.0537872314453,24394500,0.0,0.0,0.0,QQQ
2020-02-19 00:00:00-05:00,228.40801514518654,229.70419054649275,228.13717296460888,229.23020935058594,22230500,0.0,0.0,0.0,QQQ
2020-02-20 00:00:00-05:00,228.727240805956,229.20120727448477,224.29701517811444,227.1021728515625,42604000,0.0,0.0,0.0,QQQ
2020-02-21 00:00:00-05:00,225.97039448740622,226.35730762616302,221.8206942490475,222.7396240234375,66017200,0.0,0.0,0.0,QQQ
2020-02-24 00:00:00-05:00,214.43056479354206,216.9165271729335,213.05700371706695,214.15005493164062,84522600,0.0,0.0,0.0,QQQ
2020-02-25 00:00:00-05:00,215.94923083642848,216.66503651196493,207.71753198682737,208.32691955566406,97743000,0.0,0.0,0.0,QQQ
2020-02-26 00:00:00-05:00,209.62309334852438,213.07633850011143,207.87227209419612,209.40060424804688,79537700,0.0,0.0,0.0,QQQ
2020-02-27 00:00:00-05:00,204.00306507950472,209.3425521512147,198.77966376051685,198.9150848388672,121822600,0.0,0.0,0.0,QQQ
2020-02-28 00:00:00-05:00,192.14400017951735,200.3950477631689,191.68936911370665,199.06985473632812,148173700,0.0,0.0,0.0,QQQ
2020-03-02 00:00:00-05:00,202.0491860639236,209.4877091288164,199.20532793281455,209.3426055908203,112933900,0.0,0.0,0.0,QQQ
2020-03-03 00:00:00-05:00,210.01000272245565,212.42824695501133,200.83034230214943,202.6295166015625,131953500,0.0,0.0,0.0,QQQ
2020-03-04 00:00:00-05:00,206.34397170713333,211.1901283229084,204.45772920825388,211.08372497558594,73086200,0.0,0.0,0.0,QQQ
2020-03-05 00:00:00-05:00,205.73455034255892,209.28453113328266,203.2292528398632,204.67051696777344,78705500,0.0,0.0,0.0,QQQ
2020-03-06 00:00:00-05:00,197.97686176653247,202.310352277113,196.27442275589598,201.21731567382812,89828400,0.0,0.0,0.0,QQQ
2020-03-09 00:00:00-04:00,187.15273912578613,194.58159251219345,185.82754611135348,187.23980712890625,116424000,0.0,0.0,0.0,QQQ
2020-03-10 00:00:00-04:00,194.53324177666738,197.61892381296042,187.34621216326323,197.4351348876953,100599200,0.0,0.0,0.0,QQQ
2020-03-11 00:00:00-04:00,192.83082107591505,194.18503208316312,186.42729964503147,188.83587646484375,89168800,0.0,0.0,0.0,QQQ
2020-03-12 00:00:00-04:00,176.1352084319271,184.54102655524014,171.15363192237962,171.52120971679688,137820700,0.0,0.0,0.0,QQQ
2020-03-13 00:00:00-04:00,180.95240022676552,188.120065457619,172.30475583446122,186.050048828125,134882000,0.0,0.0,0.0,QQQ
2020-03-16 00:00:00-04:00,168.45490472671784,178.64054930499606,163.62809818649743,163.76351928710938,92054400,0.0,0.0,0.0,QQQ
2020-03-17 00:00:00-04:00,169.73169078212854,178.35998257249724,164.2277657338829,176.18356323242188,121257100,0.0,0.0,0.0,QQQ
2020-03-18 00:00:00-04:00,165.99793273163854,173.35906765916016,161.34523388931578,170.8247528076172,114156300,0.0,0.0,0.0,QQQ
2020-03-19 00:00:00-04:00,169.94453526535898,177.48946027690852,166.01730896513843,171.85011291503906,120896500,0.0,0.0,0.0,QQQ
2020-03-20 00:00:00-04:00,175.79668064590842,176.88971695637068,164.53733656331147,165.11770629882812,118983900,0.0,0.0,0.0,QQQ
2020-03-23 00:00:00-04:00,165.6828659248377,168.8720658457332,159.87639922904492,165.23696899414062,124639800,0.363,0.0,0.0,QQQ
2020-03-24 00:00:00-04:00,174.39737459169845,178.19725995189373,172.49742451597885,178.032470703125,94881800,0.0,0.0,0.0,QQQ
2020-03-25 00:00:00-04:00,178.76919354951661,183.7032275454454,174.46523701720528,176.7141571044922,88754900,0.0,0.0,0.0,QQQ
2020-03-26 00:00:00-04:00,178.23605192883335,186.81488582955419,177.98402388917367,186.02000427246094,79887600,0.0,0.0,0.0,QQQ
2020-03-27 00:00:00-04:00,181.20226798808488,184.67257492975233,179.00183374156566,179.62222290039062,58845000,0.0,0.0,0.0,QQQ
2020-03-30 00:00:00-04:00,181.3283414691361,186.59196996154782,180.63040161609533,186.15574645996094,49356900,0.0,0.0,0.0,QQQ
2020-03-31 00:00:00-04:00,185.84550947169134,189.2673455732761,183.4027206395172,184.56594848632812,62659300,0.0,0.0,0.0,QQQ
