Symbol,Weight,Method,Expected Return,Volatility,Sharpe Ratio
VEA,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
VWO,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
VTI,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
BND,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
SHY,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
SPY,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
TIPS,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
IWM,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
QQQ,0.8587234603620428,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
VNQ,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
DBC,0.14127653963795714,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
EFA,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
GLD,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
TLT,0.0,Genetic Algorithm,0.6116985944214262,0.28714746499182764,2.060608804045218
